id,area,Y,M,O,total
23058,97.8621968248922,2728,6260,2478,11466
23059_AM,246.376408661786,1678,5947,3803,11428
23060_AM,270.625274185976,6053,16065,4904,27022
23061_AM,135.742828415973,2719,7317,2991,13027
23063_AM,242.407806399946,1157,3294,2157,6608
23066,147.623653185662,841,3115,1501,5457
23067_AM,208.422643489445,1418,3208,1261,5887
23069_AM,261.79476981067603,1880,4441,1843,8164
23070_AM,317.58949023659403,1495,4493,1675,7663
23073_AM,370.758469539275,1419,3672,1268,6359
23074_AM,61.6724544017973,962,2981,2011,5954
23079_AM,493.98302224243497,1068,2629,1668,5365
23082_AM,549.257299315832,1185,3528,1829,6542
23086_AM,217.52474284789895,4413,10351,2470,17234
23087,158.087668664271,3014,6725,4945,14684
23088_AM,203.436769758993,2806,6410,2424,11640
23092,404.651947620636,4946,16666,13621,35233
23093_AM,274.314588985742,1719,3914,2003,7636
23094_AM,418.950360727204,953,3172,1934,6059
23095,239.804489904834,2622,6005,2514,11141
23096_AM,326.66715964158203,1588,3741,1518,6847
23097_AM,320.20286777231297,2327,6343,1911,10581
23099,88.74653177725891,1228,3224,1774,6226
23902_AM,207.41800981554,1082,3473,1184,5739
23903_AM,134.339759240371,1486,4079,1656,7221
23904_AM,1038.5309555429,1560,4881,2829,9270
23905_AM,192.693108707194,1405,3626,2245,7276
24008,46.791622753058704,2218,5890,3020,11128
24010,19.7278513370724,2309,5832,2705,10846
24014,63.365996832806,717,3907,4729,9353
24015_AM,136.56253677188,1134,3074,1629,5837
24021_AM,956.467172120422,1335,3740,1775,6850
24030,32.7063420046992,525,2399,2535,5459
24034_AM,101.606126427612,1130,4188,2367,7685
24038_AM,56.7617339018104,1330,3129,1436,5895
24039_AM,206.452121976464,1560,3926,1651,7137
24056_AM,300.707442822891,1090,3400,1167,5657
24065_AM,152.54178566899202,1590,3666,1788,7044
24070_AM,245.055103584301,1462,3708,1088,6258
24083_AM,1040.72539306802,1242,3081,1320,5643
24088_AM,458.12400435584,1301,3521,1588,6410
2408901,0.384052064215695,653,3101,1712,5466
2408902,0.531074200936116,1067,5069,2798,8934
2408903,6.79478798194908,2994,14160,7827,24981
2408904,2.2835596793066997,2019,9589,5293,16901
2408905,0.958220041010738,1446,6865,3790,12101
2408906,2.65559677976595,2015,9568,5282,16865
2408907,3.01897821315799,2163,9717,5465,17345
2408908_AD,20.3873801786085,788,3668,2021,6477
2408910,2.05212361323468,1036,4817,2659,8512
24092_AM,1041.98513092627,1165,3270,1745,6180
24094_AM,545.154275206766,1390,3575,1532,6497
2411501,11.8720484839561,4341,9992,2720,17053
2411502,2.66040438124072,5712,13087,3506,22305
2411503_AD,231.526387165901,3699,8517,2350,14566
2411505,37.1725657769681,2579,6595,2051,11225
24122_AM,1270.9254694225,1295,3363,1470,6128
24134_AM,242.960154722141,1702,4198,1858,7758
24139_AM,842.92220674814,1013,2757,1225,4995
24142,64.871031471782,5437,14519,9962,29918
24148_AM,416.898037424248,1169,3497,1794,6460
24154_AM,599.968756617725,979,2889,1418,5286
24157_AM,170.605064865108,1229,3291,1262,5782
24160_AM,873.923939511283,1233,3235,1419,5887
24163_AM,271.52545541947103,1757,5416,2213,9386
24169_AM,212.621361894897,934,3072,2036,6042
24170_AM,703.4397051505131,1452,3771,1722,6945
24175_AM,303.447190438029,1565,3991,1779,7335
24181_AM,373.2414488183199,1329,3173,1237,5739
24183_AM,1542.82233980679,830,2308,1100,4238
24188,58.5678660121243,1385,2905,895,5185
24189,63.6498216052487,1613,3673,1775,7061
24196_AM,490.034303683448,902,2882,1201,4985
24202,228.252672294167,2472,5347,1604,9423
24209_AM,642.2054386490411,1268,3202,1410,5880
24212_AM,332.045793132012,1225,3172,1497,5894
24222,52.7011505899336,4065,8993,4914,17972
24223_AM,97.200294721324,1369,3735,1367,6471
25003,79.501961621648,1050,2548,1678,5276
25007_AM,392.93108342308005,1403,4051,1980,7434
25008_AM,319.323609748769,844,2614,1207,4665
25011_AM,221.969732939033,2671,6536,3489,12696
25012_AM,51.194191196555195,1281,3289,1677,6247
25019,48.8924312604125,935,3335,2288,6558
25021_AM,78.26674756338639,1178,2892,1999,6069
25023,15.2552265317682,1003,3423,1850,6276
25025_AM,1234.89851255066,1039,2647,1244,4930
25029_AM,262.144439828714,1078,2932,1473,5483
25033_AM,101.081866539563,790,2070,1092,3952
25034_AM,856.493964601353,1590,4428,1993,8011
25038_AM,139.04680315160098,925,2593,1107,4625
25040,57.223567442035105,3591,9505,3206,16302
25048_AM,123.636270155889,1317,3387,1732,6436
25050,35.1132630500341,797,2580,1245,4622
25051_AM,640.303216788453,1099,2635,1217,4951
25058,61.7163947956435,1294,3089,1521,5904
25062_AM,773.185093069679,842,2241,1159,4242
25072,55.1351601776775,1385,4335,2720,8440
25099_AM,61.7825053406657,1076,2877,980,4933
25110,18.1847861512305,1589,3849,1505,6943
25113_AM,110.571201255971,1371,3308,1274,5953
25119_AM,97.83355932516052,1263,3269,1396,5928
2512001,1.5949885846064,4957,12392,8736,26085
2512002,17.3604676603642,3038,7524,5063,15625
